card_id,name,set_name,market_price,predicted_relative_return,pred_lo90,pred_hi90,percentile,direction_flag,direction_flag_percentile,signal_strength,top3_drivers,cardmarket_eur_avg30,cardmarket_eur_trend,cardmarket_eur_usd_div_z
sv3-215,Charizard ex,Obsidian Flames,21.82,0.04173092888293094,-0.19617821276902964,0.29099067219638897,75.10460251046025,none,none,strong,premium_asof +0.11; log_price -0.03; vol_6m +0.03,19.12,12.01,-1.4367645151335984
sv3-210,Eiscue ex,Obsidian Flames,1.68,0.040458496371501604,-0.19745064528045897,0.28971823968495963,74.89539748953975,none,none,strong,log_price +0.13; vol_6m -0.06; mid_skew +0.04,1.45,1.53,-0.012227348293004483
sv5-203,Iron Leaves ex,Temporal Forces,31.33,0.039809984851502,-0.14017163457635465,0.2707414756363203,74.68619246861925,none,none,strong,vol_6m -0.07; mispricing +0.06; log_price -0.06,26.71,25.82,-0.354557592992731
swsh9-176,Arceus VSTAR,Brilliant Stars,14.46,0.039431132869918374,-0.11338019104286248,0.1548193571467981,74.47698744769873,none,none,strong,mispricing -0.10; set_age +0.07; artwork +0.05,9.43,11.17,-0.5587854185231149
sv8pt5-146,Flareon ex,Prismatic Evolutions,206.5,0.03908421625646184,-0.14089740317139482,0.27001570704128014,74.26778242677824,none,none,strong,log_price -0.18; premium_asof +0.08; artwork +0.05,160.76,214.34,0.49089234554835937
sv10-240,Team Rocket's Mewtwo ex,Destined Rivals,59.44,0.03738671098319363,-0.09995523623750116,0.22138561407903218,74.05857740585773,none,none,strong,log_price -0.10; premium_asof +0.08; set_age -0.06,54.05,73.13,1.251393598555362
sv4-231,Gholdengo ex,Paradox Rift,3.56,0.037218234562523024,-0.20069090708943754,0.28647797787598106,73.84937238493724,none,none,strong,log_price +0.08; vol_6m -0.06; mispricing -0.04,2.94,3.02,-0.25893901318059703
sv10-242,Team Rocket's Crobat ex,Destined Rivals,12.99,0.03668913946362814,-0.10065280775706664,0.2206880425594667,73.64016736401673,none,none,strong,mid_skew +0.06; set_age -0.06; mom_3m +0.03,18.18,20.01,2.4774438798395133
swsh10-161,Beedrill V,Astral Radiance,77.83,0.03661490668728885,-0.11156078097000759,0.2133905508958242,73.43096234309623,none,none,strong,log_price -0.12; mispricing +0.09; set_age +0.06,67.97,56.23,-0.7564868546734794
swsh7-194,Rayquaza V,Evolving Skies,489.58,0.036244821625932386,-0.11193086603136405,0.21302046583446776,73.22175732217573,none,none,strong,log_price -0.23; premium_asof +0.12; mispricing +0.11,443.96,294.48,-1.2347971882999778
sv6pt5-82,Okidogi ex,Shrouded Fable,2.25,0.03580317593639036,-0.2021059657155702,0.2850629192498484,73.01255230125523,none,none,strong,log_price +0.11; mid_skew +0.07; set_age -0.03,1.87,1.83,-0.39724562540225394
me2-114,Empoleon ex,Phantasmal Flames,1.4,0.0355849818082895,-0.20232415984367105,0.2848447251217475,72.80334728033473,none,none,strong,log_price +0.14; mid_skew +0.13; set_age -0.08,2.03,2.31,2.910710916802885
sv10-215,Cynthia's Garchomp ex,Destined Rivals,4.33,0.03557417838583803,-0.20233496326612252,0.28483392169929606,72.59414225941423,none,none,strong,mispricing -0.08; log_price +0.07; mid_skew +0.07,3.78,3.81,-0.13402867172053703
sv10-212,Electivire ex,Destined Rivals,1.25,0.03554815555057098,-0.20236098610138958,0.284807898864029,72.38493723849372,none,none,strong,log_price +0.15; mispricing -0.07; set_age -0.06,1.55,1.55,1.2896804200250676
sv8-218,Black Kyurem ex,Surging Sparks,1.99,0.03546017079307421,-0.20244897085888636,0.28471991410653225,72.17573221757321,none,none,strong,log_price +0.12; mispricing -0.08; mid_skew +0.07,2.42,2.5,1.3540527549871972
swsh7-188,Umbreon V,Evolving Skies,59.61,0.03531199483621521,-0.11286369282108123,0.2120876390447506,71.96652719665272,none,none,strong,premium_asof +0.13; log_price -0.10; set_age +0.09,44.22,47.05,-0.4922784810690991
sv8-216,Scovillain ex,Surging Sparks,0.84,0.03501292851031424,-0.20289621314164633,0.2842726718237723,71.75732217573221,none,none,strong,log_price +0.18; premium_asof -0.11; mid_skew +0.10,1.18,1.18,1.941104986674457
swsh7-196,Noivern V,Evolving Skies,74.37,0.03488598342841761,-0.11328970422887882,0.21166162763695298,71.54811715481172,none,none,strong,log_price -0.11; mispricing +0.11; set_age +0.09,63.61,63.21,-0.2525146519101913
sv10-210,Cetitan ex,Destined Rivals,1.13,0.03456782809581672,-0.20334131355614385,0.2838275714092748,71.33891213389121,none,none,strong,log_price +0.16; premium_asof -0.14; mid_skew +0.07,1.55,1.63,2.0902238641493165
swsh10-166,Starmie V,Astral Radiance,4.14,0.034265027689816874,-0.11391065996747957,0.21104067189835224,71.1297071129707,none,none,strong,log_price +0.07; mispricing -0.07; set_age +0.06,3.74,3.13,-0.6237735114843195
sv7-157,Cinderace ex,Stellar Crown,3.24,0.03387795484485889,-0.20403118680710167,0.2831376981583169,70.92050209205021,none,none,strong,log_price +0.09; mid_skew +0.06; set_age -0.03,2.53,2.66,-0.3669824845410001
sv1-223,Spidops ex,Scarlet & Violet,1.33,0.033866027031697596,-0.20404311462026298,0.2831257703451556,70.7112970711297,none,none,strong,log_price +0.15; premium_asof -0.11; vol_6m -0.04,1.24,1.07,-0.4321256752137212
swsh7-174,Glaceon V,Evolving Skies,24.95,0.033588244375217284,-0.11458744328207915,0.21036388858375266,70.50209205020921,none,none,strong,premium_asof +0.09; set_age +0.09; log_price -0.04,29.62,14.9,-1.2518012855639276
sv9-174,Mamoswine ex,Journey Together,0.82,0.03315621737512421,-0.20475292427683633,0.28241596068858227,70.29288702928869,none,none,strong,log_price +0.18; premium_asof -0.09; mid_skew +0.05,1.11,1.0,1.208677111441286
