card_id,name,set_id,set_name,number,rarity,variant,eu_eur,eu_usd,us_usd,ratio,gap_pct,gap_usd,obs_dates,flags
swsh10-16,Hisuian Lilligant,swsh10,Astral Radiance,16,Rare Holo,normal,0.18,0.209736,0.27,0.7767999999999999,-22.320000000000007,-0.06026400000000001,8,penny
swsh10-16,Hisuian Lilligant,swsh10,Astral Radiance,16,Rare Holo,holo,0.21,0.244692,0.32,0.7646624999999999,-23.53375000000001,-0.07530800000000001,8,penny
me2pt5-110,Cynthia's Gabite,me2pt5,Ascended Heroes,110,Uncommon,normal,0.13,0.151476,0.22,0.6885272727272728,-31.147272727272725,-0.068524,7,penny
sv3pt5-47,Parasect,sv3pt5,151,47,Uncommon,normal,0.07,0.08156400000000001,0.18,0.4531333333333334,-54.68666666666666,-0.09843599999999998,8,penny
sv3pt5-47,Parasect,sv3pt5,151,47,Uncommon,holo,0.2,0.23304000000000002,0.27,0.8631111111111112,-13.688888888888883,-0.03695999999999999,8,penny
me2-59,Sableye,me2,Phantasmal Flames,59,Common,normal,0.03,0.034956,0.17,0.2056235294117647,-79.43764705882353,-0.135044,8,penny
me2-59,Sableye,me2,Phantasmal Flames,59,Common,holo,0.1,0.11652000000000001,0.24,0.48550000000000004,-51.449999999999996,-0.12347999999999998,8,penny
sv4pt5-61,Scrafty,sv4pt5,Paldean Fates,61,Uncommon,normal,0.07,0.08156400000000001,0.07,1.1652,16.520000000000003,0.011564000000000005,8,penny
sv4pt5-61,Scrafty,sv4pt5,Paldean Fates,61,Uncommon,holo,0.14,0.16312800000000002,0.17,0.9595764705882354,-4.042352941176464,-0.006871999999999989,8,penny
sv1-143,Iron Treads ex,sv1,Scarlet & Violet,143,Double Rare,normal,0.53,0.617556,0.59,1.0467050847457628,4.670508474576285,0.027556000000000025,8,penny
sv4-138,Orthworm,sv4,Paradox Rift,138,Uncommon,normal,0.04,0.046608000000000004,0.1,0.46608,-53.391999999999996,-0.053392,8,penny
sv4-138,Orthworm,sv4,Paradox Rift,138,Uncommon,holo,0.12,0.139824,0.15,0.9321600000000001,-6.78399999999999,-0.01017599999999999,8,penny
sv10-122,Team Rocket's Crobat ex,sv10,Destined Rivals,122,Double Rare,normal,0.53,0.617556,0.78,0.7917384615384615,-20.82615384615385,-0.16244400000000003,8,penny
sv1-35,Torkoal,sv1,Scarlet & Violet,35,Uncommon,normal,0.06,0.069912,0.11,0.6355636363636363,-36.443636363636365,-0.040088,8,penny
